endTime,artistName,trackName,msPlayed
3/12/2019 5:07,The Paper Kites,Arms,6954
3/12/2019 5:07,bülow,Two Punks In Love,135863
3/12/2019 5:11,Russell Dickerson,Yours,216960
3/12/2019 5:14,Dan + Shay,Tequila,195986
3/12/2019 5:16,Brett Young,Mercy,90842
3/12/2019 14:06,Brett Young,Mercy,126271
3/12/2019 14:10,Thomas Rhett,Marry Me,205453
3/12/2019 14:14,Maren Morris,I Could Use a Love Song,196421
3/12/2019 14:18,Brett Young,In Case You Didn't Know,226200
3/12/2019 15:50,Brett Eldredge,The Long Way,208720
3/12/2019 15:53,Keith Urban,Female,195316
3/12/2019 19:14,Dan + Shay,From the Ground Up - Single Version,254293
3/12/2019 19:14,Noah Schnacky,Hello Beautiful,17994
3/12/2019 19:53,Noah Schnacky,Hello Beautiful,199007
3/12/2019 19:54,Old Dominion,Written in the Sand,19177
3/12/2019 20:44,Old Dominion,Written in the Sand,164722
3/12/2019 20:45,Chase Rice,Eyes On You,23579
3/12/2019 20:48,Chase Rice,Eyes On You,3018
3/12/2019 20:54,Billy Currington,Do I Make You Wanna,234306
3/12/2019 20:56,Seth Ennis,Look At You,148926
3/12/2019 22:37,Darius Rucker,If I Told You,212320
3/12/2019 22:40,Thomas Rhett,Unforgettable,93147
3/13/2019 2:32,Thomas Rhett,Unforgettable,63944
3/13/2019 2:36,Dylan Schneider,Wannabe,195933
3/13/2019 2:39,Michael Ray,Get to You,191546
3/13/2019 2:42,Florida Georgia Line,H.O.L.Y.,194186
3/13/2019 2:45,Jimmie Allen,Best Shot,195053
3/13/2019 2:49,Lauren Alaina,Doin' Fine,143337
3/13/2019 13:38,Lauren Alaina,Doin' Fine,56563
3/13/2019 13:41,Trent Harmon,You Got 'Em All,213920
3/13/2019 13:42,Maddie & Tae,Friends Don't,67783
3/13/2019 13:46,Rascal Flatts,I Like The Sound Of That,209280
3/13/2019 13:51,Thomas Rhett,Die A Happy Man,227426
3/13/2019 13:57,Jake Owen,Made For You,238040
3/13/2019 13:59,Hunter Hayes,Wanted,140481
3/13/2019 14:55,Chris Tomlin,I Will Follow,178491
3/13/2019 14:56,Maroon 5,Sad,65387
3/13/2019 15:59,Brett Eldredge,The Long Way,133863
3/13/2019 16:40,Brett Eldredge,The Long Way,88332
3/13/2019 16:44,Brett Young,In Case You Didn't Know,226200
3/13/2019 16:45,Dan + Shay,Speechless,57496
3/13/2019 16:51,Russell Dickerson,Yours,216960
3/13/2019 16:53,Keith Urban,Female,5608
3/14/2019 4:33,Keith Urban,Female,189625
3/14/2019 4:36,Maren Morris,I Could Use a Love Song,196421
3/14/2019 4:41,Dan + Shay,From the Ground Up - Single Version,254293
3/14/2019 4:44,Noah Schnacky,Hello Beautiful,216992
3/14/2019 4:45,Thomas Rhett,Marry Me,25832
3/14/2019 4:48,Brett Young,Mercy,67285
3/14/2019 14:05,Brett Young,Mercy,149949
3/14/2019 14:10,Russell Dickerson,Every Little Thing,190640
3/14/2019 14:13,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),163870
3/14/2019 14:16,Michael Ray,Get to You,191546
3/14/2019 14:19,Dylan Scott,My Girl,197640
3/14/2019 14:24,Chris Bandi,Man Enough Now,185474
